"search-number","evaluation","turret-adjust*","vision-angle1*","vision-dist1*","vision-angle2*","vision-dist2*","vision-angle3*","vision-dist3*","v1?*","v2?*","v3?*","seen-chance1*","seen-chance2*","seen-chance3*","num-replicates","best-fitness-so-far"
"3","4","-3","96","25","69","13.5","97","8.5","true","true","true","20","40","100","1","15.70982845779823"
"3","8","0.5","13","25","32","2.5","107","7.5","true","true","true","60","20","35","1","10.727791285113698"
"3","9","2","25","25","25","10","23","19","true","true","true","85","25","70","1","9.27813708944974"
"3","49","2","15","25","84","2.5","13","9","true","true","true","65","70","70","1","8.050006277681"
"3","70","2","15","25","84","2.5","13","9","true","true","true","65","95","70","1","7.919371093422753"
"3","86","2","15","25","84","2.5","13","8.5","true","true","true","65","95","70","1","7.919371093422747"
"3","89","2","15","25","84","2.5","15","9","true","true","true","65","95","70","1","7.8884457768472585"
"3","94","2.5","15","25","84","2.5","13","9","true","true","true","65","95","70","1","7.869490940481359"
"3","98","2.5","15","25","84","2.5","13","8.5","true","true","true","65","95","70","1","7.869490940481352"
"3","100","2.5","15","25","84","3","13","9","true","true","true","65","95","70","1","7.8563671093433385"
"3","103","2.5","15","25","84","3","13","8.5","true","true","true","65","95","70","1","7.856367109343319"
"3","107","3","15","25","84","2.5","13","10","true","true","true","65","95","70","1","7.778119106691574"
"3","113","3","15","25","84","2.5","13","9","true","true","true","65","100","70","1","7.727882280749014"
"3","116","2","15","25","84","4.5","13","9","true","true","true","65","95","70","1","7.126082652170984"
"3","125","2.5","15","25","84","4.5","13","9","true","true","true","65","95","70","1","7.093589192291504"
"3","127","2.5","15","25","84","4.5","13","9","true","true","true","65","100","70","1","6.860707468974242"
"3","145","2.5","16","25","84","4.5","13","9","true","true","true","65","100","70","1","6.858367767797736"
"3","150","2.5","15","25","84","4.5","13","10.5","true","true","true","65","100","70","1","6.817728198620729"
"3","153","2.5","15","25","84","4.5","18","9","true","true","true","65","100","70","1","6.809201152159954"
"3","156","2.5","15","25","84","4.5","18","9","true","true","true","60","100","70","1","6.803392381819674"
"3","157","2.5","15","25","84","4.5","18","10.5","true","true","true","65","100","70","1","6.7067722641559975"
"3","183","3","15","25","84","4.5","18","10.5","true","true","true","65","100","70","1","6.685783903604733"
"3","187","2.5","15","25","84","4.5","18","10.5","true","true","true","65","100","85","1","6.666517815540146"
"3","189","3","10","25","84","4.5","18","10.5","true","true","true","65","100","70","1","6.6444185292181395"
"3","190","2.5","12","25","84","4.5","18","10.5","true","true","true","65","100","70","1","6.635391814951034"
"3","199","3","12","25","84","4.5","18","10.5","true","true","true","65","100","70","1","6.622347058065275"
"3","208","3","12","25","84","4.5","18","10.5","true","true","true","70","100","70","1","6.616309667010586"
"3","212","3","12","25","78","4.5","18","10.5","true","true","true","70","100","70","1","6.615336716519458"
"3","234","3","12","25","81","4.5","18","10.5","true","true","true","70","100","70","1","6.5983773661014435"
"3","245","3","13","25","78","4.5","18","10.5","true","true","true","70","100","75","1","6.565498075281402"
"3","251","3","13","25","82","4.5","18","10.5","true","true","true","70","100","75","1","6.5411742435948295"
"3","274","3","13","25","82","4.5","18","10.5","true","true","true","70","100","80","1","6.529378892113696"
"3","281","3","13","25","82","4.5","18","10.5","true","true","true","70","100","85","1","6.521969837773058"
